# Writting to the csv file.,,,,,,,,,,,
,AlexNet Score,AlexNet Alt,,ResNet Score,ResNet Alt,,DenseNet Score,DenseNet Alt,,,
From./output/alexnet/images/train/,,,,,,,,,,Average AlexNet Score,1.012409192
COCO_train2014_000000000009.jpg,1.009893056,0.990203857,,1.160422126,0.861755371,,1.04881513,0.953456879,,,0.987896343
COCO_train2014_000000000089.jpg,1.038140611,0.963260651,,1.083875663,0.922615051,,1.079795034,0.926101685,,,
COCO_train2014_000000000110.jpg,1.003283758,0.99672699,,1.035332033,0.965873718,,1.049323118,0.9529953,,,
COCO_train2014_000000000307.jpg,1.011834274,0.988304138,,1.037692679,0.963676453,,1.025169334,0.975448608,,Average ResNet Score,1.061081968
COCO_train2014_000000000321.jpg,1.023228582,0.977298737,,1.131516133,0.883769989,,1.028770118,0.972034454,,,0.944377431
COCO_train2014_000000000332.jpg,1.039021161,0.962444305,,1.074523596,0.930644989,,1.042235042,0.959476471,,,
COCO_train2014_000000000349.jpg,1.01828013,0.982048035,,1.101417611,0.907920837,,1.198871302,0.834117889,,Average DenseNet Score,1.057207051
COCO_train2014_000000000382.jpg,1,1,,1.081304938,0.924808502,,1.063309212,0.940460205,,,0.947650665
COCO_train2014_000000000389.jpg,1.008851465,0.991226196,,1.016357468,0.983905792,,1.000370163,0.999629974,,,
COCO_train2014_000000000419.jpg,1.004687242,0.995334625,,1.040935533,0.960674286,,1.01287421,0.987289429,,,
COCO_train2014_000000000443.jpg,1.006623941,0.993419647,,1.018331553,0.981998444,,1.030865727,0.970058441,,,
COCO_train2014_000000000450.jpg,1.024488233,0.976097107,,1.03441282,0.966732025,,1.021494147,0.97895813,,,
COCO_train2014_000000000508.jpg,1.001554996,0.998447418,,1.117417881,0.894920349,,1.078311518,0.927375793,,,
COCO_train2014_000000000510.jpg,1.000454155,0.999546051,,1.002194441,0.997810364,,1.007746157,0.992313385,,,
COCO_train2014_000000000531.jpg,1.009877494,0.990219116,,1.068096532,0.936244965,,1.138079092,0.878673553,,,
COCO_train2014_000000000532.jpg,1.049789557,0.952571869,,1.072764698,0.932170868,,1.159739335,0.862262726,,,
COCO_train2014_000000000605.jpg,1.009616903,0.990474701,,1.207786404,0.827960968,,1.050041858,0.952342987,,,
COCO_train2014_000000000716.jpg,1.006299352,0.993740082,,1.056210288,0.946781158,,1.026216789,0.974452972,,,
